,规则,rule,任务,检测规则,重要程度,规则标签,描述,description,Noncompliant Code Example,Compliant Solution,rule status,see
14,,__iter__ returns non-iterator,15min,坏味道,次要,/,,"Used when an __iter__ method returns something which is not an iterable (i.e. has no `next` method).
This rule was added in Pylint 1.1.0.",,,,
,,,,,,,,,,,,
15,,A field should not duplicate the name of its containing class,10min,坏味道,主要,brain-overload,,"It's confusing to have a class member with the same name (case differences aside) as its enclosing class. This is particularly so when you consider the common practice of naming a class instance for the class itself.
Best practice dictates that any field or member with the same name as the enclosing class be renamed to be more descriptive of the particular aspect of the class it represents or holds.","class Foo:
  foo = ''

  def getFoo(self):
    ...

foo = Foo()
foo.getFoo() # what does this return?","class Foo:
  name = ''

  def getName(self):
    ...

foo = Foo()
foo.getName()",,
16,,Abstract class not referenced,20min,坏味道,次要,/,,Used when an abstract class is not used as ancestor anywhere.,,,,
17,,Abstract class used too few times,45min,坏味道,次要,/,,Used when an abstract class is used less than X times as ancestor.,,,,
18,,Abstract method is not overridden,1h,坏味道,次要,/,,Used when an abstract method (i.e. raise NotImplementedError) is not overridden in concrete class.,,,,
19,,Access of nonexistent member,10min,坏味道,主要,/,,Used when a variable is accessed for an nonexistent member.,,,,
20,,Access to a protected member of a client class,1h,坏味道,次要,/,,Used when a protected member (i.e. class member with a name beginning with an underscore) is access outside the class or a descendant of the class where it's defined.,,,,
21,,Access to member before its definition,15min,坏味道,主要,/,,Used when an instance member is accessed before it's actually assigned.,,,,
22,,Accessing nonexistent member (type information incomplete),10min,坏味道,主要,/,,"Used when a variable is accessed for an nonexistent member, but Pylint was not able to interpret all possible types of this variable.",,,,
23,,Analysis failed,,坏味道,主要,/,,Used when an error occurred preventing the analysis of a module (unable to find it for instance).,,,,
24,,Anomalous backslash escape,,坏味道,次要,DEPRECATED,,"Used when a backslash is in a literal string but not as an escape.
This rule was added in Pylint 0.26.0.
This rule is deprecated, use S1717 instead.",,,,
25,,Anomalous Unicode escape in byte string,15min,坏味道,次要,/,,"Used when an escape like u is encountered in a byte string where it has no effect.
This rule was added in Pylint 0.26.0.",,,,
,,,,,,,,,,,,
26,,Arguments number discrepancy,15min,坏味道,次要,/,,Used when a method has a different number of arguments than in the implemented interface or in an overridden method.,,,,
27,,Assert called on a 2-uple,5min,坏味道,次要,/,,"A call of assert on a tuple will always evaluate to true if the tuple is not empty, and will always evaluate to false if it is. Did you mean 'assert x,y'?",,,,
28,,Assigning to function call which doesn't return,20min,坏味道,主要,/,,Used when an assignment is done on a function call but the inferred function doesn't return anything.,,,,
29,,Assigning to function call which only returns None,15min,坏味道,次要,/,,Used when an assignment is done on a function call but the inferred function returns nothing but None.,,,,
30,,Attempting to unpack a non-sequence,15min,坏味道,次要,/,,"Used when something which is not a sequence is used in an unpack assignment.
This rule was added in Pylint 1.1.0.",,,,
,,,,,,,,,,,,
31,,Attribute defined outside __init__,,坏味道,次要,/,,Used when an instance attribute is defined outside the __init__ method.,,,,
32,,Avoid catching an exception which doesn't inherit from BaseException,20min,坏味道,次要,/,,Used when a class which doesn't inherit from BaseException is used as an exception in an except clause.,,,,
33,,Backticks should not be used,5min,Bug,阻断,python3,,"Backticks are a deprecated alias for repr(). Don't use them any more, the syntax was removed in Python 3.0.",return `num`  # Noncompliant,return repr(num),,
34,,Bad continuation,5min,坏味道,次要,/,,"Used when continued lines are badly indented.
This rule was added in Pylint 1.2.1.",,,,
35,,Bad except clauses order,30min,坏味道,主要,/,,"Used when except clauses are not in the correct order (from the more specific to the more generic). If you don't fix the order, some exceptions may not be catched by the most specific handler.",,,,
36,,Bad first argument given to super,10min,坏味道,主要,/,,Used when another argument than the current class is given as first argument of the super builtin.,,,,
37,,Bad indentation,,坏味道,次要,/,,Used when an unexpected number of indentation's tabulations or spaces has been found.,,,,
38,,Bad option value,,坏味道,主要,/,,"Used when a bad value for an inline option is encountered.
The option exists but its value is not valid. The options can be specified in the Pylint configuration file and can be overridden in the Pylint command line.",,,,
,,,,,,,,,,,,
39,,Black listed name,1min,坏味道,次要,/,,"Used when the name is listed in the black list (unauthorized names).
Pylint can be customized to help enforce coding guidelines that discourage or forbid use of certain names for variables, functions, etc. These names are specified with the bad-names option. This message is raised whenever a name is in the list of names defined with the bad-names option.",,,,
,,,,,,,,,,,,
40,,Branches should have sufficient coverage by unit tests,,坏味道,主要,bad-practice,,An issue is created on a file as soon as the branch coverage on this file is less than the required threshold.It gives the number of branches to be covered in order to reach the required threshold.,,,,
41,,Calling of not callable,3min,坏味道,主要,/,,Used when an object being called has been inferred to a non callable object.,,,,
42,,Catching too general exception,20min,坏味道,次要,/,,"Used when an except catches a too general exception, possibly burying unrelated errors.
Catching exceptions should be as precise as possible. The type of exceptions that can be raised should be known in advance. Using a catch-all Exception instance defeats the purpose of knowing the type of error that occur-ed, and prohibits the use of tailored responses.",,,,
,,,,,,,,,,,,
43,,Class has no __init__ method,20min,坏味道,次要,/,,"Used when a class has no __init__ method, neither its parent classes.",,,,
44,,"Class method should have ""cls"" as first argument",10min,坏味道,次要,/,,"Used when a class method has an attribute different than ""cls"" as first argument, to easily differentiate them from regular instance methods.",,,,
45,,Class names should comply with a naming convention,5min,坏味道,次要,convention,,Sharing some naming conventions is a key point to make it possible for a team to efficiently collaborate. This rule allows to check that all class names match a provided regular expression.,,,,
46,,Classes should not be too complex,10min,坏味道,严重,/,,"The cyclomatic complexity of a class should not exceed a defined threshold. Complex code can perform poorly and will in any case be difficult to understand and therefore to maintain.
Deprecated
This rule is deprecated, and will eventually be removed.",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
47,,Cognitive Complexity of functions should not be too high,5min,坏味道,严重,brain-overload,,Cognitive Complexity is a measure of how hard the control flow of a function is to understand. Functions with high Cognitive Complexity will be difficult to maintain.,,,,
48,,"Collapsible ""if"" statements should be merged",5min,坏味道,主要,clumsy,,Merging collapsible if statements increases the code's readability.,"if condition1:
    if condition2:
        # ...","if condition1 and condition2:
    # ...",,
49,,Comma not followed by a space,1min,坏味道,次要,/,,"Used when a comma ("","") is not followed by a space.",,,,
50,,Comments should not be located at the end of lines of code,1min,坏味道,次要,convention,,"This rule verifies that single-line comments are not located at the ends of lines of code. The main idea behind this rule is that in order to be really readable, trailing comments would have to be properly written and formatted (correct alignment, no interference with the visual structure of the code, not too long to be visible) but most often, automatic code formatters would not handle this correctly: the code would end up less readable. Comments are far better placed on the previous empty line of code, where they will always be visible and properly formatted.",a = b + c   # This is a trailing comment that can be very very long,"# This very long comment is better placed before the line of code
a = b + c",,
,,,,,,,,,,,,
51,,"Control flow statements ""if"", ""for"", ""while"", ""try"" and ""with"" should not be nested too deeply",10min,坏味道,严重,brain-overload,,"Nested if, for, while, try, and with statements are key ingredients for making what's known as ""Spaghetti code"". Such code is hard to read, refactor and therefore maintain.","The following code snippet illustrates this rule with the default threshold of 3.
  if condition1:           # Compliant - depth = 1
    # ...
    if condition2:         # Compliant - depth = 2
      # ...
      for i in range(10):  # Compliant - depth = 3, not exceeding the limit
        # ...
        if condition4:     # Non-Compliant - depth = 4
          if condition5:   # Depth = 5, exceeding the limit, but issues are only reported on depth = 4
            # ...",,,
52,,Cyclic import,2h,坏味道,次要,/,,"Used when a cyclic import between two or more modules is detected.
While cyclic imports terminate and execute without surprises in most cases, the circular dependency often indicates a design issue in the code base.",,,,
,,,,,,,,,,,,
53,,Dangerous default value as argument,15min,坏味道,次要,/,,Used when a mutable value as list or dictionary is detected in a default value for an argument.,,,,
54,,Docstrings should be defined,5min,坏味道,主要,/,,"A string literal that is the first statement in a module, function, class, or method is a docstring. A docstring should document what a caller needs to know about the code. Information about what it does, what it returns, and what it requires are all valid candidates for documentation. Well written docstrings allow callers to use your code without having to first read it and understand its logic.
By convention, docstrings are enclosed in three sets of double-quotes.","def my_function(a,b):","def my_function(a,b):
      """"""Do X""""""",,
,,,,,,,,,,,,
55,,Duplicate argument name in function definition,5min,坏味道,次要,/,,"Duplicate argument names in function definitions are syntax errors.
This rule was added in Pylint 0.28.0.",,,,
56,,Duplicate key in dictionary,10min,坏味道,次要,/,,Used when a dictionary expression binds the same key multiple times.,,,,
57,,Duplicate keyword argument in function call,3min,坏味道,主要,/,,Used when a function call passes the same keyword argument multiple times.,,,,
58,,Else clause on loop without a break statement,20min,坏味道,次要,/,,"Loops should only have an else clause if they can exit early with a break statement, otherwise the statements under else should be on the same scope as the loop itself.
This rule was added in Pylint 0.28.0.",,,,
59,,Empty docstring,5min,坏味道,次要,/,,,,,DEPRECATED,
60,,Error while code parsing,,坏味道,主要,/,,Used when an exception occurred while building the ASTNG representation which could be handled by ASTNG.,,,,
61,,Except doesn't do anything,15min,坏味道,次要,/,,"Used when an except clause does nothing but ""pass"" and there is no ""else"" clause.",,,,
62,,"Exception doesn't inherit from standard ""Exception"" class",15min,坏味道,次要,/,,"Used when a custom exception class is raised but doesn't inherit from the builtin ""Exception"" class.",,,,
63,,Exception to catch is the result of a binary operation,15min,坏味道,次要,/,,"Used when the exception to catch is of the form ""except A or B:"". If intending to catch multiple, rewrite as ""except (A, B):""",,,,
64,,Expected mapping for format string,10min,坏味道,主要,/,,Used when a format string that uses named conversion specifiers is used with an argument that is not a mapping.,,,,
65,,Explicit return in __init__,5min,坏味道,主要,/,,,,,DEPRECATED,
66,,Expression is assigned to nothing,15min,坏味道,次要,/,,Used when an expression that is not a function call is assigned to nothing. Probably something else was intended.,,,,
67,,Failed to resolve interfaces,,坏味道,主要,/,,Used when a Pylint as failed to find interfaces implemented by a class.,,,,
68,,Failed unit tests should be fixed,10min,Bug,主要,/,,Test failures or errors generally indicate that regressions have been introduced. Those tests should be handled as soon as possible to reduce the cost to fix the corresponding regressions.,,,,
69,,Field names should comply with a naming convention,2min,坏味道,次要,convention,,Sharing some naming conventions is a key point to make it possible for a team to efficiently collaborate. This rule allows to check that field names match a provided regular expression.,"With the default regular expression ^[_a-z][_a-z0-9]*$:
class MyClass:
  myField = 1","class MyClass:
  my_field = 1",,
,,,,,,,,,,,,
70,,Files should contain an empty new line at the end,1min,坏味道,次要,convention,,"Some tools such as Git work better when files end with an empty line. This rule simply generates an issue if it is missing.
For example, a Git diff looks like this if the empty line is missing at the end of the file:
<pre>
+class Test:
+ pass
\ No newline at end of file
</pre>",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
71,,Files should not be too complex,30min,坏味道,主要,/,,"Most of the time, a very complex file breaks the Single Responsibility Principle and should be re-factored into several different files.
Deprecated
This rule is deprecated, and will eventually be removed.",,,DEPRECATED,
,,,,,,,,,,,,
72,,Files should not have too many lines of code,1h,坏味道,主要,brain-overload,,"A source file that grows too much tends to aggregate too many responsibilities and inevitably becomes harder to understand and therefore to maintain. Above a specific threshold, it is strongly advised to refactor it into smaller pieces of code which focus on well defined tasks. Those smaller files will not only be easier to understand but also probably easier to test.",,,,
73,,Final newline missing,,坏味道,次要,/,,"Used when the last line in a file is missing a newline.
While Python interpreters typically do not require line end character(s) on the last line, other programs processing Python source files may do, and it is simply good practice to have it.
Added in Pylint 1.0.0.
This rule is deprecated, use S113 instead.",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
74,,Format detection error,,坏味道,主要,/,,Used when an unexpected error occurred in bad format detection. Please report the error if it occurs.,,,,
75,,Format string dictionary key should be a string,15min,坏味道,次要,/,,Used when a format string that uses named conversion specifiers is used with a dictionary whose keys are not all strings.,,,,
76,,Format string ends in middle of conversion specifier,3min,坏味道,主要,/,,Used when a format string terminates before the end of a conversion specifier.,,,,
77,,Function names should comply with a naming convention,10min,坏味道,主要,convention,,Shared coding conventions allow teams to collaborate efficiently. This rule checks that all function names match a provided regular expression.,"With the default provided regular expression: ^[a-z_][a-z0-9_]{2,30}$
def MyFunction(a,b):
    ...","def my_function(a,b):
    ...",,
,,,,,,,,,,,,
78,,Functions should not be too complex,10min,坏味道,严重,brain-overload,,The Cyclomatic Complexity of functions should not exceed a defined threshold. Complex code may perform poorly and can be difficult to test thoroughly.,,,,
79,,Functions should not contain too many return statements,20min,坏味道,主要,brain-overload,,Having too many return statements in a function increases the function's essential complexity because the flow of execution is broken each time a return statement is encountered. This makes it harder to read and understand the logic of the function.,"With the default threshold of 3:
def fun():          # Noncompliant as there are 4 return statements
  if condition1:
    return True
  elif condition2:
    return False
  else:
    return True
  return False
}",,,
,,,,,,,,,,,,
80,,"Functions, methods and lambdas should not have too many parameters",20min,坏味道,主要,brain-overload,,A long parameter list can indicate that a new structure should be created to wrap the numerous parameters or that the function is doing too many things.,"With a maximum number of 4 parameters:
def do_something(param1, param2, param3, param4, param5):
	...","def do_something(param1, param2, param3, param4):
	...",,
,,,,,,,,,,,,
81,,Global variable undefined at the module level,15min,坏味道,次要,/,,"Used when a variable is defined through the ""global"" statement but the variable is not defined in the module scope.",,,,
82,,Identical expressions should not be used on both sides of a binary operator,2min,Bug,主要,cert,,"Using the same value on either side of a binary operator is almost always a mistake. In the case of logical operators, it is either a copy/paste error and therefore a bug, or it is simply wasted code, and should be simplified. In the case of bitwise operators and most binary mathematical operators, having the same value on both sides of an operator yields predictable results, and should be simplified.
This rule ignores *, +, and =.","if a == a: # Noncompliant
    work()

if  a != a: # Noncompliant
    work()

if  a == b and a == b: # Noncompliant
    work()

if a == b or a == b: # Noncompliant
    work()

j = 5 / 5 # Noncompliant
k = 5 - 5 # Noncompliant",,,"	•	CERT, MSC12-C. - Detect and remove code that has no effect or is never executed
	•	CERT, MSC12-CPP. - Detect and remove code that has no effect
	•	S1656 - Implements a check on =."
,,,,,,,,,,,,
83,,Ignored builtin module,,坏味道,主要,/,,Used to indicate that the user asked to analyze a builtin module which has been skipped.,,,,
84,,Ignoring entire file,,坏味道,提示,/,,Used to inform that the file will not be checked.,,,,
85,,Implemented interface must be a class,20min,坏味道,主要,/,,Used when a class claims to implement an interface which is not a class.,,,,
86,,Implicit unpacking of exceptions is not supported in Python 3,15min,坏味道,次要,/,,"Python3 will not allow implicit unpacking of exceptions in except clauses. See http://www.python.org/dev/peps/pep-3110/ This message can't be emitted when using Python >= 3.0.
This rule was added in Pylint 1.0.0.",,,,
87,,Increment and decrement operators should not be used,5min,Bug,主要,/,,"Python has no pre/post increment/decrement operator. For instance, x++ and x-- will fail to parse. More importantly, ++x and --x will do nothing. To increment a number, simply write x += 1.",++x # Noncompliant,x += 1,,
88,,Interface not implemented,20min,坏味道,次要,/,,Used when an interface class is not implemented anywhere.,,,,
89,,Internal Pylint error,,坏味道,主要,/,,Used when an unexpected error occurred while building the ASTNG representation. This is usually accompanied by a traceback. Please report such errors!,,,,
90,,Invalid __slots__ object,20min,坏味道,次要,/,,"Used when an invalid __slots__ is found in class. Only a string, an iterable or a sequence is permitted.
This rule was added in Pylint 1.2.0.",,,,
91,,Invalid mode for open,15min,坏味道,次要,/,,"Python supports: r, w, a modes with b, +, and U options. See http://docs.python.org/2/library/functions.html#open
This rule was added in Pylint 1.0.0.",,,,
92,,Invalid name,1min,坏味道,次要,/,,"Used when the name doesn't match the regular expression associated to its type (constant, variable, class...).
This rule is deprecated, use 69, 102, 45, 113, 77, 126 instead.",,,DEPRECATED,
93,,"Invalid object in __all__, must contain only strings",3min,坏味道,次要,/,,"Used when an invalid (non-string) object occurs in __all__.
This rule was added in Pylint 0.27.0.",,,,
94,,"Invalid object in __slots__, must contain only non empty strings",10min,坏味道,次要,/,,"Used when an invalid (non-string) object occurs in __slots__.
This rule was added in Pylint 1.2.0.",,,,
95,,IP addresses should not be hardcoded,30min,漏洞,次要,cert,,"Hardcoding an IP address into source code is a bad idea for several reasons:
	•	a recompile is required if the address changes
	•	it forces the same address to be used in every environment (dev, sys, qa, prod)
	•	it places the responsibility of setting the value to use in production on the shoulders of the developer
	•	it allows attackers to decompile the code and thereby discover a potentially sensitive address","ip = '127.0.0.1'
sock = socket.socket()
sock.bind((ip, 9090))","ip = config.get(section, ipAddress)
sock = socket.socket()
sock.bind((ip, 9090))",,"CERT, MSC03-J. - Never hard code sensitive information"
96,,Jump statements should not be followed by other statements,5min,Bug,主要,"cert, cwe, misra, unused",,"Jump statements (return, break, continue, and raise) move control flow out of the current code block. Typically, any statements in a block that come after a jump are simply wasted keystrokes lying in wait to confuse the unwary.","def fun(a):
  i = 10
  return i + a       # Noncompliant
  i += 1             # this is never executed","def fun(a):
  i = 10
  return i + a",,
97,,Lambda may not be necessary,5min,坏味道,次要,/,,Used when the body of a lambda expression is a function call on the same argument list as the lambda itself; such lambda expressions are in all but a few cases replaceable with the function being called in the body of the lambda.,,,,
98,,Line too long,1min,坏味道,次要,/,,"Used when a line is longer than a given number of characters.
This rule is deprecated, use 100 instead.",,,DEPRECATED,
99,,Lines should have sufficient coverage by unit tests,2min,坏味道,主要,bad-practice,,An issue is created on a file as soon as the line coverage on this file is less than the required threshold. It gives the number of lines to be covered in order to reach the required threshold.,,,,
100,,Lines should not be too long,1min,坏味道,主要,convention,,Having to scroll horizontally makes it harder to get a quick overview and understanding of any piece of code.,,,,
101,,Lines should not end with trailing whitespaces,1min,坏味道,次要,convention,,"Trailing whitespaces are simply useless and should not stay in code. They may generate noise when comparing different versions of the same file.
If you encounter issues from this rule, this probably means that you are not using an automated code formatter - which you should if you have the opportunity to do so.",,,,
102,,Local variable and function parameter names should comply with a naming convention,2min,坏味道,次要,convention,,Sharing some naming conventions is a key point to make it possible for a team to efficiently collaborate. This rule allows to check that all local variable and function parameter names match a provided regular expression.,"Loop counters are ignored by this rule.
for i in range(limit):  # Compliant
    print(i)",,,
,,,,,,,,,,,,
103,,Locally disabling message,,坏味道,提示,/,,Used when an inline option disables a message or a messages category.,,,,
104,,Locally enabling message,,坏味道,提示,/,,Used when an inline option enables a message or a messages category.,,,,
105,,Logging format string ends in middle of conversion specifier,10min,坏味道,主要,/,,Used when a logging statement format string terminates before the end of a conversion specifier.,,,,
106,,"Long suffix ""L"" should be upper case",2min,坏味道,次要,/,,"The long suffix should always be written in uppercase, i.e. 'L', as the lowercase 'l' can easily be confused with the digit one '1'.",return 10l  // Noncompliant; easily confused with one zero one,return 10L,,
107,,map/filter on lambda could be replaced by comprehension,15min,坏味道,次要,/,,"Used when a lambda is the first argument to ""map"" or ""filter"". It could be clearer as a list comprehension or generator expression. This message can't be emitted when using Python >= 3.0.
This rule was added in Pylint 0.27.0.",,,,
108,,Metaclass class method first argument,20min,坏味道,次要,/,,"Used when a metaclass class method has a first argument named differently than the value specified in valid-metaclass-classmethod-first-arg option (defaults to ""mcs""), recommended to easily differentiate them from regular instance methods.",,,,
109,,"Metaclass method should have ""mcs"" as first argument",10min,坏味道,次要,/,,"Used when a metaclass method has an attribute different the ""mcs"" as first argument.",,,,
110,,Method could be a function,20min,坏味道,次要,/,,"Used when a method doesn't use its bound instance, and so could be written as a function.
If the class method does not reference any of the class attributes it may be more clear to define the method as a static function instead.
This rule is deprecated, use 116 instead.",,,DEPRECATED,
111,,Method has no argument,10min,坏味道,主要,/,,Used when a method which should have the bound instance as first argument has no argument defined.,,,,
112,,Method hidden by attribute of super class,15min,坏味道,主要,/,,Used when a class defines a method which is hidden by an instance attribute from an ancestor class.,,,,
113,,Method names should comply with a naming convention,5min,坏味道,次要,convention,,Sharing some naming conventions is a key point to make it possible for a team to efficiently collaborate. This rule allows to check that all method names match a provided regular expression.,"With default provided regular expression: ^[a-z_][a-z0-9_]{2,30}$
class MyClass:
    def MyMethod(a,b):
        ...","class MyClass:
    def my_method(a,b):
        ...

",,
,,,,,,,,,,,,
114,,"Method should have ""self"" as first argument",5min,坏味道,主要,/,,"Used when a method has an attribute different the ""self"" as first argument. This is considered as an error since this is a so common convention that you shouldn't break it!",,,,
115,,Methods and field names should not differ only by capitalization,10min,坏味道,阻断,confusing,,"Looking at the set of methods and fields in a class and finding two that differ only by capitalization is confusing to users of the class.
This situation may simply indicate poor naming. Method names should be action-oriented, and thus contain a verb, which is unlikely in the case where both a method and a field have the same name (with or without capitalization differences). However, renaming a public method could be disruptive to callers. Therefore renaming the member is the recommended action.","class SomeClass:
    lookUp = false
    def lookup():       # Non-compliant; method name differs from field name only by capitalization
        pass","class SomeClass:
    lookUp = false
    def getLookUp():
        pass",,
,,,,,,,,,,,,
116,,Methods and properties that don't access instance data should be static,5min,坏味道,次要,pitfall,,"Class methods that don't access instance data can and should be static because they yield more performant code.
To implement a static method in Python one should use either @classmethod or @staticmethod. A class method receives the class as implicit first argument, just like an instance method receives the instance. A static method does not receive an implicit first argument.","class Utilities:
    def do_the_thing(self, arg1, arg2, ...):  # Noncompliant
        #...","class Utilities:
    @classmethod
    def do_the_thing(cls, arg1, arg2, ...):
        #...

或者
class Utilities:
    @staticmethod
    def do_the_thing(arg1, arg2, ...):
        #...",,
,,,,,,,,,,,,
117,,Missing argument to reversed(),10min,坏味道,次要,/,,Used when reversed() builtin didn't receive an argument.,,,,
118,,Missing argument to super(),10min,坏味道,次要,/,,Used when the super builtin didn't receive an argument. This message can't be emitted when using Python >= 3.0.,,,,
119,,Missing docstring,5min,坏味道,次要,/,,"Used when a module, function, class or method has no docstring. Some special methods like __init__ doesn't necessary require a docstring.
This rule is deprecated, use 54 instead.",,,DEPRECATED,
120,,Missing key in format string dictionary,10min,坏味道,主要,/,,Used when a format string that uses named conversion specifiers is used with a dictionary that doesn't contain all the keys required by the format string.,,,,
121,,Missing method from interface,30min,坏味道,主要,/,,Used when a method declared in an interface is missing from a class implementing this interface.,,,,
122,,Missing required attribute,20min,坏味道,次要,/,,Used when an attribute required for modules is missing.,,,,
123,,Mixed tabs/spaces indentation,1min,坏味道,主要,/,,"Used when there are some mixed tabs and spaces in a module.
As indentation is part of Python's syntax, inconsistencies in its usage are usually considered a major issue.",,,,
124,,Mixing named and unnamed conversion specifiers in format string,5min,坏味道,主要,/,,Used when a format string contains both named (e.g. '%(foo)d') and unnamed (e.g. '%d') conversion specifiers. This is also used when a named conversion specifier contains * for the minimum field width and/or precision.,,,,
125,,Module imports itself,15min,坏味道,次要,/,,Used when a module is importing itself.,,,,
126,,Module names should comply with a naming convention,10min,坏味道,次要,"cert, convention",,"Shared coding conventions allow teams to collaborate effectively. For that reason, module names should conform to a defined standard.",,,,"	•	CERT, MSC09-CPP. - Character encoding: Use subset of ASCII for safety
	•	CERT, MSC09-C. - Character encoding: Use subset of ASCII for safety"
127,,More than one statement on a single line,,坏味道,次要,/,,"Used when more than one statement are found on the same line.
This rule is deprecated, use 166 instead.",,,DEPRECATED,
128,,Multiple values passed for parameter in function call,5min,坏味道,主要,/,,"Used when a function call would result in assigning multiple values to a function parameter, one value from a positional argument and one from a keyword argument.",,,,
129,,Nested blocks of code should not be left empty,5min,坏味道,主要,suspicious,,Most of the time a block of code is empty when a piece of code is really missing. So such empty block must be either filled or removed.,"for i in range(3):
    pass",,,
130,,New-style classes should be used,2min,坏味道,次要,python3,,"The new style of class creation, with the declaration of a parent class, created a unified object model in Python, so that the type of an instantiated class is equal to its class. In Python 2.2-2.7, this is not the case for old-style classes. In Python 3+ all classes are new-style classes. However, since the behavior can differ from 2.2+ to 3+, explicitly inheriting from object (if there is no better candidate) is recommended.","class MyClass():
    pass","class MyClass(object):
    pass",,
